OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"21880","141","2",YES,None,"80720","168862",ACT,RL,TUK,Tukwila,SC,NO,"2",S,NO,UNK,"0",Unknown,"140",CURRENT,52nd Ave S,50.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,111.40000000000,50.00000000000,2005-03-10T00:00:00.000Z,"24",Unknown,"0",52nd Ave S,,N,None,Default,Near side,TUK,YES,1285709.69999999995,"1285693",179171.10000000001,179152.29999999999,"98168",150 154,Interurban Ave S,C1H <=48 rts,KCM,Flush,None,Concrete,None,"1","8409"
"21881","141","2",YES,None,"80730","250884",ACT,REG,TUK,Tukwila,SC,NO,,S,NO,UNK,"0",YelRed-Stop,"10",CURRENT,58th Ave S,100.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,721.00000000000,99.60000000000,2009-07-31T00:00:00.000Z,"24",Unknown,"0",58th Ave S,,N,None,None,Near side,TUK,YES,1287763.69999999995,"1287747",177094.60000000001,177076.20000000001,"98168",150 154,Interurban Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"1","8410"
"21882","141","2",UNK,None,"80740","3747",CLO,REG,TUK,Tukwila,SC,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,S 149th St,90.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,90.00000000000,90.00000000000,2016-03-11T00:00:00.000Z,"24",Unknown,"0",S 149th St,,N,None,None,Far side,TUK,UNK,1289224.10000000009,"1289201",174521.10000000001,174512.00000000000,"98168",,Interurban Ave S,Unknown,KCM,Away,2in metal,Cncrt-asphlt,None,"0","0"
"22058","141","2",YES,Unknown,"99900","186664",ACT,REG,TUK,Tukwila,SC,NO,,W,NO,UNK,"0",Unknown,"0",CURRENT,Tukwila LLR AcRd,60.00000000000,NS,2009-06-11T15:02:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,405.00000000000,59.80000000000,2009-06-13T00:00:00.000Z,"79",Unknown,"0",Tukwila LLR AcRd,,N,None,None,Near side,TUK,NO,1280504.10000000009,"1280516",172733.20000000001,172755.10000000001,"98188","599",ST Light Rail,Non-Metro,ST,None,None,None,None,"0","9373"
"22529","142","0",YES,Unknown,"59881","370670",ACT,RL,ST,Sound Transit,SC,NO,"1",N,NO,UNK,"0",Unknown,"0",NEXT,S Longacres Way,120.00000000000,NS,2012-05-16T13:10:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,261.60000000000,116.80000000000,2018-08-03T00:00:00.000Z,"24",Unknown,"0",S Longacres Way,RAIL,N,Unknown,H Panel,Near side,TUK,NO,1292242.89999999991,"1292264",171295.39999999999,171282.50000000000,"98057",F 154,Tukwila Station AcRd,Non-Metro,ST,Unknown,Unknown,Unknown,Unknown,"0","100001309"
"22530","142","0",YES,Unknown,"59882","370670",ACT,REG,ST,Sound Transit,SC,NO,,N,NO,UNK,"0",Unknown,"0",NEXT,S Longacres Way,220.00000000000,NM,2012-05-16T13:12:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,69.00000000000,69.00000000000,2018-08-03T00:00:00.000Z,"24",Unknown,"0",S Longacres Way,RAIL,N,Unknown,Unknown,Near middle,TUK,NO,1292142.60000000009,"1292164",171131.00000000000,171117.89999999999,"98057",F,Tukwila Station AcRd,Non-Metro,ST,Unknown,Unknown,Unknown,Unknown,"0","100001414"
"22531","142","0",UNK,Unknown,"59883","357707",ACT,LAY,UNK,Unknown,SC,UNK,,S,NO,UNK,"0",Unknown,"0",NEXT,Tukwila Station AcRd,63.60000000000,FS,2018-05-14T13:33:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,252.00000000000,63.60000000000,2018-05-15T00:00:00.000Z,"24",Unknown,"0",Tukwila Station AcRd,,N,UNK,Unknown,Far side,TUK,UNK,1292073.50000000000,"1292049",171155.20000000001,171161.79999999999,"98057",,Tukwila Station AcRd,Unknown,UNK,,Unknown,Unknown,UNK,"0","100015897"
"22994","142","0",YES,Unknown,"99900","186664",ACT,REG,TUK,Tukwila,SC,NO,,W,NO,UNK,"0",Unknown,"0",NEXT,Tukwila LLR AcRd,60.00000000000,NS,2009-06-11T15:02:00.000Z,2019-01-30T20:33:00.000Z,2019-04-04T00:00:00.000Z,405.00000000000,59.80000000000,2009-06-13T00:00:00.000Z,"79",Unknown,"0",Tukwila LLR AcRd,,N,None,None,Near side,TUK,NO,1280504.10000000009,"1280516",172733.20000000001,172755.10000000001,"98188","599",ST Light Rail,Non-Metro,ST,None,None,None,None,"0","9373"
"22997","142","0",YES,Unknown,"99905","186665",ACT,REG,TUK,Tukwila,SC,NO,,E,NO,UNK,"0",None,"0",NEXT,Tukwila LLR AcRd,195.00000000000,FS,2009-07-16T14:33:00.000Z,2019-01-30T20:33:00.000Z,2019-04-04T00:00:00.000Z,194.60000000000,194.60000000000,2009-09-19T00:00:00.000Z,"79",Unknown,"0",Tukwila LLR AcRd,,N,None,None,Far side,TUK,NO,1280622.19999999995,"1280610",172649.89999999999,172628.00000000000,"98188","599",ST Light Rail,Non-Metro,ST,None,None,None,None,"0","100000649"
"23466","141","2",YES,None,"80280","76390",ACT,REG,TUK,Tukwila,SC,NO,,N,NO,UNK,"0",Unknown,"30",CURRENT,S 166th St,70.00000000000,FS,1981-03-15T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,568.90000000000,70.00000000000,2015-02-14T00:00:00.000Z,"24",Unknown,"0",S 166th St,,N,None,None,Far side,TUK,YES,1284874.39999999991,"1284899",169179.60000000001,169179.29999999999,"98188","156",51st Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Single,"0","8312"
"23467","141","2",YES,None,"80290","14382",ACT,REG,TUK,Tukwila,SC,NO,,N,NO,UNK,"0",None,"10",CURRENT,S 164th St,120.00000000000,FS,1981-03-15T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,80.20000000000,80.20000000000,1981-03-15T00:00:00.000Z,"24",Unknown,"0",S 164th St,,N,None,None,Far side,TUK,YES,1284883.60000000009,"1284909",169868.39999999999,169868.10000000001,"98188","156",51st Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","8313"
"23514","141","2",YES,None,"80300","85782",ACT,REG,TUK,Tukwila,SC,NO,,N,NO,UNK,"0",Unknown,"10",CURRENT,S 160th St,70.00000000000,NS,1981-03-15T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,70.00000000000,70.00000000000,1981-03-15T00:00:00.000Z,"24",Unknown,"0",S 160th St,,N,None,None,Near side,TUK,YES,1284901.19999999995,"1284926",170864.10000000001,170863.20000000001,"98188","156",51st Ave S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","8314"
"23515","141","2",YES,None,"80310","111666",ACT,REG,TUK,Tukwila,SC,NO,,E,NO,UNK,"0",Unknown,"10",CURRENT,53rd Ave S,50.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,752.00000000000,50.00000000000,1960-01-01T00:00:00.000Z,"24",Unknown,"0",53rd Ave S,,N,None,None,Near side,TUK,YES,1285549.50000000000,"1285542",170525.20000000001,170501.39999999999,"98188","156",S 160th St,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","8315"
