WKT,OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"POINT (-122.175512287283 47.3139278156844)",3963,141,2,UNK,Unknown,59040,354221,CLO,REG,UNK,Unknown,SE,UNK,,W,NO,UNK,0,Unknown,0,CURRENT,Green River CC AcRd,54.3,AT,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,54.3,54.3,1981-05-15T00:00:00.000Z,24,Unknown,0,Green River CC AcRd,,N,UNK,Unknown,At cross st,AUB,UNK,1307467.2,1307477,117393,117415.9,98092,,Green River CC AcRd,Unknown,UNK,,Unknown,Unknown,UNK,0,100014249
"POINT (-122.175335813464 47.3138065239672)",3994,141,2,UNK,Unknown,59045,354221,CLO,RL,UNK,Unknown,SE,UNK,,E,NO,UNK,0,Unknown,0,CURRENT,Green River CC AcRd,29.3,NS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,100.5,29.3,2004-01-01T00:00:00.000Z,24,Unknown,0,Green River CC AcRd,,N,UNK,Unknown,Near side,AUB,UNK,1307512,1307520,117394.5,117370.9,98092,,Green River CC AcRd,Unknown,UNK,,Unknown,Unknown,UNK,0,100014248
"POINT (-122.176318425683 47.3191042594466)",3995,141,2,NO,None,59047,102437,ACT,REG,AUB,Auburn,SE,NO,,N,NO,NO,0,None,0,CURRENT,SE 316th St,68.09999999999999,FS,1995-02-11T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,564,68.09999999999999,2010-06-12T00:00:00.000Z,24,Unknown,0,SE 316th St,,N,None,None,Far side,AUB,YES,1307284.7,1307310,119307.9,119307.3,98092,164,124th Ave SE,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,0,5378
"POINT (-122.204635010721 47.3155278245248)",3996,141,2,NO,None,59050,161593,ACT,REG,AUB,Auburn,SE,NO,,W,NO,UNK,0,YelRed-Stop,10,CURRENT,104th Ave SE,220,FM,1980-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,199.7,199.7,1980-05-15T00:00:00.000Z,24,Unknown,0,104th Ave SE,,N,None,None,Far middle,AUB,YES,1300264,1300264,118101.8,118126.8,98092,181,SE 320th St,A1 <=2 rts,KCM,Toward,Light,Band,Single,0,5379
"POINT (-122.176301440951 47.3228413829409)",3997,141,2,YES,None,59053,355461,ACT,REG,AUB,Auburn,SE,NO,,N,NO,UNK,0,YelRed-Stop,10,CURRENT,SE 312th St,130.6,FS,1995-02-11T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,191.9,130.6,2010-10-02T00:00:00.000Z,24,Unknown,0,SE 312th St,,N,None,None,Far side,AUB,YES,1307313.3,1307338,120670.5,120670.2,98092,164,124th Ave SE,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,1,5380
"POINT (-122.176458827364 47.3302291857846)",3998,141,2,LTD,None,59055,365746,PLN,REG,AUB,Auburn,SE,NO,,N,NO,YES,6,YelRed-Stop,0,CURRENT,SE 304th St,170.1,NS,2008-01-07T17:12:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,170.1,170.1,2008-01-07T00:00:00.000Z,24,Unknown,0,SE 304th St,,N,None,None,Near side,AUB,YES,1307370.6,1307346,123364.7,123365.3,98092,,124th Ave SE,Single,KCM,Away,2in metal,Base plate,None,0,100001503
"POINT (-122.176293078416 47.3253434573277)",3999,141,2,YES,None,59057,179642,ACT,REG,AUB,Auburn,SE,NO,,N,NO,YES,6,YelRed-Stop,10,CURRENT,SE 310th St,382.9,FS,1995-02-11T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,419.5,382.9,2010-10-02T00:00:00.000Z,24,ADA Access,0,SE 310th St,,N,None,None,Far side,AUB,YES,1307330.8,1307356,121583,121582.7,98092,164,124th Ave SE,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,1,5381
"POINT (-122.176268955473 47.32943108069)",4000,141,2,UNK,None,59058,179639,CLO,REG,AUB,Auburn,SE,NO,,N,NO,UNK,0,Unknown,0,CURRENT,SE 304th St,120.7,NS,2008-10-20T11:15:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,120.7,120.7,2008-10-20T00:00:00.000Z,24,Unknown,0,SE 304th St,,N,None,None,Near side,AUB,UNK,1307363.4,1307388,123074,123073.4,98092,,124th Ave SE,Unknown,KCM,Away,2in metal,Cncrt-earth,None,0,0
"POINT (-122.176255312755 47.3306278040499)",4001,141,2,YES,None,59059,365746,ACT,REG,AUB,Auburn,SE,NO,,N,NO,YES,6,YelRed-Stop,10,CURRENT,SE 304th St,316,FS,1990-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,315.8,211.5,2017-02-11T00:00:00.000Z,24,ADA Access,0,SE 304th St,,N,None,None,Far side,AUB,YES,1307374.2,1307399,123510.4,123509.8,98092,164,124th Ave SE,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,0,5382
"POINT (-122.192207964682 47.3227913343613)",4002,141,2,YES,None,59060,33269,ACT,REG,AUB,Auburn,SE,NO,,N,NO,UNK,0,None,0,CURRENT,SE 312th St,40,NS,1980-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,451.1,40,1980-05-15T00:00:00.000Z,24,Unknown,0,SE 312th St,,N,None,None,Near side,AUB,YES,1303367.9,1303393,120721.8,120721.2,98092,181,112th Ave SE,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,Single,0,5383
